,station_id,station_name,lat,lon,jan_count,feb_count,mar_count,apr_count,may_count,jun_count,jul_count,aug_count,sep_count,oct_count,nov_count,dec_count
133,6450.05,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,0,1,0,0,1,0,0,1,0,1,0,0
134,8381.04,W 181 St & Riverside Dr,40.85168,-73.94186,0,1,0,0,0,0,1,0,0,1,0,0
135,6306.01,W 20 St & 10 Ave,40.745686,-74.005141,0,1,0,0,0,0,0,0,0,1,0,1
136,6157.04,10 Ave & W 14 St,40.74198159994023,-74.00831580162048,0,2,3,0,4,3,1,0,1,4,3,3
137,5288.09,Warren St & W Broadway,40.71473993,-74.00910627,0,1,0,1,1,0,2,1,0,1,0,0
138,5687.11,King St & Varick St,40.72789701409023,-74.00536268949507,0,2,0,0,0,0,0,0,0,0,0,0
139,5453.06,Kenmare St & Elizabeth St,40.72054,-73.9949,0,1,0,1,0,0,0,0,1,0,0,0
140,6492.04,W 33 St & 10 Ave,40.75377336836039,-73.99937599897385,0,3,0,0,1,1,1,0,0,0,0,1
141,5114.06,West Thames St,40.70834698,-74.01713445,0,5,0,0,2,0,0,7,0,0,0,0
142,5175.08,Fulton St & Broadway,40.711066,-74.009447,0,2,4,1,0,2,5,1,5,9,1,1
143,6306.06,W 22 St & 10 Ave,40.74691959,-74.00451887,0,1,0,0,3,2,0,3,0,1,0,0
144,SYS035,Pier 40 Dock Station,40.72866,-74.01198,0,1,0,0,0,0,0,0,0,0,0,0
145,6233.05,W 16 St & The High Line,40.74334935,-74.00681753,0,0,2,1,1,0,1,4,0,1,2,8
146,5561.04,Mott St & Prince St,40.72317958,-73.99480012,0,0,1,0,0,1,0,0,0,0,1,0
147,4993.02,Pearl St & Hanover Square,40.7047177,-74.00926027,0,0,6,0,2,2,1,3,0,1,0,0
148,6148.02,W 17 St & 8 Ave,40.74177603,-74.00149746,0,0,1,1,0,0,0,0,0,0,0,0
149,5679.05,Mercer St & Bleecker St,40.72706363348306,-73.99662137031554,0,0,2,0,0,0,0,1,1,1,0,0
150,5359.11,Leonard St & Church St,40.717571,-74.005549,0,0,1,0,4,0,3,0,0,0,0,0
151,6364.07,6 Ave & W 33 St,40.74901271,-73.98848395,0,0,1,0,0,1,0,1,2,2,3,0
152,JC116,Exchange Pl,40.71636596185077,-74.034343957901,0,0,1484,2518,3035,3569,3488,4213,3461,3377,2582,2137
153,5922.07,Perry St & Bleecker St,40.73535398,-74.00483091,0,0,1,0,0,0,0,0,0,0,0,2
154,6711.13,Steinway St & Broadway,40.75905795418586,-73.91897544264793,0,0,1,0,0,0,0,0,0,0,0,0
155,6224.06,8 Ave & W 24 St,40.74591072834279,-73.99807110428809,0,0,3,1,0,0,0,0,2,0,0,0
156,5500.07,6 Ave & Canal St,40.72243797,-74.00566443,0,0,1,1,3,2,3,1,2,0,0,0
157,5593.04,E 4 St & 2 Ave,40.7262807,-73.98978041,0,0,1,0,0,2,2,0,0,0,0,0
158,5712.12,E 5 St & Cooper Sq,40.72769,-73.990993,0,0,1,5,1,3,4,2,0,1,2,1
159,6257.03,W 24 St & 7 Ave,40.74487634,-73.99529885,0,0,3,2,2,2,0,0,0,2,0,0
160,4953.04,South St & Gouverneur Ln,40.70355377,-74.00670227,0,0,1,0,4,3,1,0,0,0,0,0
161,6708.04,Broadway & W 48 St,40.76017739537783,-73.98486793041229,0,0,1,0,0,0,0,0,0,0,0,2
162,5470.02,N Moore St & Hudson St,40.71996118117138,-74.00844320654869,0,0,1,0,0,1,0,0,0,1,0,0
163,6131.12,Madison Ave & E 26 St,40.742684734875695,-73.98671329021454,0,0,1,0,2,2,1,0,0,0,1,0
164,5343.11,Orchard St & Grand St,40.717318403855785,-73.99067759513855,0,0,0,2,0,1,0,3,0,0,0,0
165,5159.04,Pike St & Monroe St,40.71173107,-73.99193043,0,0,0,1,1,1,0,0,0,1,0,0
166,5422.09,Lafayette St & Grand St,40.72028,-73.99879,0,0,0,1,0,1,0,0,0,1,0,0
167,6876.04,Central Park S & 6 Ave,40.76590936,-73.97634151,0,0,0,1,0,0,0,0,2,1,0,1
168,5772.05,Morton St & Washington St,40.73115,-74.00887,0,0,0,1,0,0,0,0,0,0,0,0
169,6140.05,W 21 St & 6 Ave,40.74173969,-73.99415556,0,0,0,1,2,0,1,1,0,0,0,4
170,5578.02,Watts St & Greenwich St,40.72405549,-74.00965965,0,0,0,1,0,0,1,4,0,1,0,1
171,8299.03,Wadsworth Ave & W 175 St,40.846052,-73.937648,0,0,0,3,0,0,0,0,0,0,0,0
172,5065.14,Cliff St & Fulton St,40.70838,-74.00495,0,0,0,1,0,2,2,0,0,0,1,0
173,6526.05,8 Ave & W 38 St,40.75461,-73.99177,0,0,0,1,0,0,0,0,0,1,0,0
174,7942.21,Riverside Dr & W 138 St,40.823168,-73.955857,0,0,0,1,0,0,0,0,0,0,0,0
175,5382.07,Forsyth St & Grand St,40.71779817737835,-73.99316132068634,0,0,0,1,0,0,0,0,0,0,0,0
176,7524.16,Riverside Dr & W 91 St,40.79313480986663,-73.97700369358063,0,0,0,1,0,0,1,0,0,0,0,0
177,6459.07,W 30 St & 10 Ave,40.752694,-74.002353,0,0,0,1,6,8,9,4,3,1,0,0
